,Date,Ticker,Close,High,Low,Open,Volume
0,2018-01-02,ITUB4.SA,15.46483039855957,15.46483039855957,15.084201115374052,15.084201115374052,18865469
1,2018-01-03,ITUB4.SA,15.570549011230469,15.626939340907349,15.355564306626443,15.471867076725621,25261028
2,2018-01-04,ITUB4.SA,15.894790649414062,15.965277427117089,15.595221558568744,15.595221558568744,26311149
3,2018-01-05,ITUB4.SA,15.94060230255127,15.972321857950151,15.718568842047633,15.90183509949326,17807870
4,2018-01-08,ITUB4.SA,15.887730598449707,15.972314900238048,15.782001078036041,15.880681811431593,14398333
5,2018-01-09,ITUB4.SA,15.715055465698242,15.859553478971899,15.65161745285009,15.845457031340331,24255264
6,2018-01-10,ITUB4.SA,15.662186622619629,15.718575825953476,15.563504659962884,15.64104024295818,15410556
7,2018-01-11,ITUB4.SA,15.989944458007812,15.98994445800781,15.718569456279221,15.753813408099646,17614127
8,2018-01-12,ITUB4.SA,15.975846290588379,16.0075658460619,15.848970353553316,15.91593271712346,11649902
9,2018-01-15,ITUB4.SA,16.074541091918945,16.078065489796042,16.004054276807395,16.032249459824186,12365222
10,2018-01-16,ITUB4.SA,16.22255516052246,16.293041939321338,16.018142473818866,16.035764454126046,14882011
11,2018-01-17,ITUB4.SA,16.490402221679688,16.546792550217,16.145017171537027,16.21550393977899,16336613
12,2018-01-18,ITUB4.SA,16.45163917541504,16.606710333265454,16.3811523893403,16.458687968265508,14718689
13,2018-01-19,ITUB4.SA,16.585567474365234,16.62786024044307,16.43402068078005,16.529178262024985,12557095
14,2018-01-22,ITUB4.SA,16.997913360595703,16.997913360595703,16.553846246360724,16.58556467313179,20246313
15,2018-01-23,ITUB4.SA,16.934471130371094,17.089542256164957,16.88512959061777,16.916849151887764,28151367
16,2018-01-24,ITUB4.SA,17.752120971679688,17.773267348964445,17.05782519936581,17.071922784222313,25047400
17,2018-01-25,ITUB4.SA,17.752120971679688,17.752120971679688,17.752120971679688,17.752120971679688,0
18,2018-01-26,ITUB4.SA,18.643779754638672,18.721314182778062,17.977678041494503,18.044640423927493,53745667
19,2018-01-29,ITUB4.SA,18.21733283996582,18.629681449164785,18.21733283996582,18.552145881597532,37536686
20,2018-01-30,ITUB4.SA,18.14684295654297,18.23142730144294,17.903663107759243,18.11512339879438,28829468
21,2018-01-31,ITUB4.SA,18.41822052001953,18.70016877372122,18.365355722263516,18.379453306313074,23769037
22,2018-02-01,ITUB4.SA,18.511640548706055,18.670281600931073,18.173207141981663,18.2754428168789,29175316
23,2018-02-02,ITUB4.SA,18.278968811035156,18.321273705101817,18.05687154545862,18.211987204854086,20632269
24,2018-02-05,ITUB4.SA,17.63735580444336,18.437610855970664,17.63735580444336,18.074499543099314,26256595
25,2018-02-06,ITUB4.SA,18.271921157836914,18.423510283391877,17.612678961156675,17.619729777613827,100527804
26,2018-02-07,ITUB4.SA,17.83830451965332,18.370633248214787,17.824202884478,18.30717703268397,31090653
27,2018-02-08,ITUB4.SA,17.75016212463379,18.173205267859846,17.626775160186547,17.961683124868024,25519692
28,2018-02-09,ITUB4.SA,17.796003341674805,17.90528989441655,17.468145968966287,17.6972941602882,29580137
29,2018-02-14,ITUB4.SA,18.564531326293945,18.61741246966005,18.04982953017243,18.159116083704014,24843291
30,2018-02-15,ITUB4.SA,18.568050384521484,18.786622260610397,18.5468979357122,18.687911975591632,46063587
31,2018-02-16,ITUB4.SA,18.716447830200195,18.720130050295158,18.521292552343848,18.66857896896567,61335974
32,2018-02-19,ITUB4.SA,18.569156646728516,18.823226187294253,18.495513457322396,18.716443025540755,9363395
33,2018-02-20,ITUB4.SA,19.025739669799805,19.125158367178905,18.484461951872287,18.521282940124117,29321473
34,2018-02-21,ITUB4.SA,19.2761287689209,19.607523662817357,19.136206851725284,19.136206851725284,32430368
35,2018-02-22,ITUB4.SA,19.382911682128906,19.585430118439202,19.2429885730112,19.42341489195583,19437861
36,2018-02-23,ITUB4.SA,19.515472412109375,19.600162257953325,19.099387621101105,19.600162257953325,25192538
37,2018-02-26,ITUB4.SA,19.493385314941406,19.640671738972266,19.3681922125917,19.58912184863799,19625486
38,2018-02-27,ITUB4.SA,19.202482223510742,19.544923712948357,19.147250148745453,19.40868284459876,13102975
39,2018-02-28,ITUB4.SA,18.550745010375977,19.239309229012942,18.550745010375977,19.15830160366812,48212095
40,2018-03-01,ITUB4.SA,18.825145721435547,18.96879262576157,18.559950609949812,18.637299034890237,25169934
41,2018-03-02,ITUB4.SA,18.924592971801758,18.924592971801758,18.501017719102656,18.718329720946862,17669191
42,2018-03-05,ITUB4.SA,19.19347381591797,19.2450390414031,18.755166414435603,18.924596547528388,14720729
43,2018-03-06,ITUB4.SA,19.123493194580078,19.49918544678808,19.123493194580078,19.3555385145271,15367218
44,2018-03-07,ITUB4.SA,19.097713470458984,19.119813369901763,18.792002970608998,19.07929688759,16519140
45,2018-03-08,ITUB4.SA,18.965106964111328,19.3997321324435,18.806726818641188,19.33711578204674,15698791
46,2018-03-09,ITUB4.SA,19.226612091064453,19.241345344895446,18.898801969095974,18.983516984681405,15455253
47,2018-03-12,ITUB4.SA,19.443933486938477,19.46603337846409,19.200838261986775,19.278186688383073,11425568
48,2018-03-13,ITUB4.SA,19.285545349121094,19.488125216502862,19.171363817367734,19.443925451717227,10807290
49,2018-03-14,ITUB4.SA,18.854610443115234,19.33711755317804,18.803045226126343,19.30028559645549,19133310
50,2018-03-15,ITUB4.SA,18.943016052246094,19.03878108664275,18.64098887710135,18.784635831724458,22182553
51,2018-03-16,ITUB4.SA,18.86566925048828,19.178747596387055,18.75148881767434,18.99826626728636,33808833
52,2018-03-19,ITUB4.SA,18.460500717163086,18.858292753444058,18.401568873180818,18.71832917625746,19347787
53,2018-03-20,ITUB4.SA,18.51943588256836,18.600466431138106,18.261607393855112,18.545217895679325,10246285
54,2018-03-21,ITUB4.SA,18.44576644897461,18.57099795377478,18.3647347202015,18.53048149241664,28283588
55,2018-03-22,ITUB4.SA,18.386838912963867,18.563635670577643,18.21740878641262,18.41630543721398,21239501
56,2018-03-23,ITUB4.SA,18.475231170654297,18.769891539756305,18.23950263658408,18.268969151071502,26938604
57,2018-03-26,ITUB4.SA,18.703603744506836,18.780952195212276,18.408943207332527,18.69255498921497,11812884
58,2018-03-27,ITUB4.SA,18.478914260864258,18.858289660573714,18.34631733516502,18.78462456919158,11396337
59,2018-03-28,ITUB4.SA,18.648347854614258,18.659397799501978,18.280021134129992,18.280021134129992,13470916
60,2018-03-29,ITUB4.SA,18.89881134033203,19.10139009913132,18.69623138758938,18.751481116851938,31548158
61,2018-04-02,ITUB4.SA,18.80854034423828,19.07012855795655,18.668535855771914,18.878542588471465,14533954
62,2018-04-03,ITUB4.SA,18.6317081451416,19.011196022658915,18.591180997671813,18.937508128544284,15904770
63,2018-04-04,ITUB4.SA,18.753280639648438,18.830651687404202,18.24115725089347,18.366424206577072,16844254
64,2018-04-05,ITUB4.SA,18.790117263793945,19.258027790747093,18.756958936555748,19.224869463508895,23487090
65,2018-04-06,ITUB4.SA,18.88223648071289,18.90802723419906,18.561699035984606,18.804865414547194,12277357
66,2018-04-09,ITUB4.SA,18.46221351623535,18.93380849320237,18.406948834427556,18.93380849320237,17979180
67,2018-04-10,ITUB4.SA,18.554325103759766,18.675908856469675,18.381161052674667,18.620642971468584,15008624
68,2018-04-11,ITUB4.SA,18.860122680664062,18.86749146446757,18.517479010970426,18.535900970479194,11704456
69,2018-04-12,ITUB4.SA,19.02591896057129,19.048025313181956,18.749594330107605,18.922758370306337,10224361
70,2018-04-13,ITUB4.SA,18.58379364013672,19.018544615269096,18.51747460169667,18.992755072390032,16709314
71,2018-04-16,ITUB4.SA,18.311153411865234,18.712746086735265,18.28167828185931,18.546950869036216,21396874
72,2018-04-17,ITUB4.SA,18.613271713256836,18.7201166812863,18.292733226291684,18.355367883617117,13476865
73,2018-04-18,ITUB4.SA,18.96697998046875,19.158566083189072,18.801184636193526,18.82697420034557,25815914
74,2018-04-19,ITUB4.SA,18.790117263793945,18.989072004391744,18.664850348819147,18.900647807936295,14877423
75,2018-04-20,ITUB4.SA,18.74959373474121,18.8085428122054,18.57274530805627,18.69432785496943,9806454
76,2018-04-23,ITUB4.SA,18.782745361328125,18.782745361328125,18.476945712956056,18.657478467160754,11508334
77,2018-04-24,ITUB4.SA,18.69064712524414,19.0075013151432,18.59853850186905,18.937497853715747,13736378
78,2018-04-25,ITUB4.SA,18.580123901367188,18.694337724609753,18.399590987385448,18.502752823131157,16098343
79,2018-04-26,ITUB4.SA,19.01118278503418,19.073816257126214,18.698014230281576,18.74591013381256,16463226
80,2018-04-27,ITUB4.SA,18.974340438842773,19.195400402733192,18.900653784212633,19.12908253299532,15432479
81,2018-04-30,ITUB4.SA,18.79380226135254,19.05907485927643,18.668535342336696,18.978019442768478,10751886
82,2018-05-02,ITUB4.SA,17.948001861572266,18.537669663899816,17.870609254225354,18.48975967015083,37979916
83,2018-05-03,ITUB4.SA,17.594200134277344,18.0843612226695,17.557346572811657,17.966428392406943,25331217
84,2018-05-04,ITUB4.SA,17.3878231048584,17.664229092814562,17.3878231048584,17.524183360392932,25772237
85,2018-05-07,ITUB4.SA,17.413616180419922,17.638426634082673,17.32148047441039,17.468898320811903,17740060
86,2018-05-08,ITUB4.SA,17.468887329101562,17.63473006199523,17.284616033029018,17.432032592029845,17655595
87,2018-05-09,ITUB4.SA,17.52417755126953,17.671594188597933,17.33622068162181,17.546289210618237,16909345
88,2018-05-10,ITUB4.SA,18.003293991088867,18.047519727989904,17.583155463751172,17.65686383060847,19715389
89,2018-05-11,ITUB4.SA,17.715816497802734,18.09541566553525,17.66053556434335,17.955369996961593,13283801
90,2018-05-14,ITUB4.SA,17.450464248657227,17.92588330584868,17.3141028826269,17.83743310978477,18411023
91,2018-05-15,ITUB4.SA,17.384132385253906,17.542605454318622,16.989792450479936,17.026646013592547,19242248
92,2018-05-16,ITUB4.SA,17.686338424682617,17.785845086132845,17.409931297241727,17.439415106454774,14177398
93,2018-05-17,ITUB4.SA,16.76129150390625,17.634734664763446,16.72075128254613,17.634734664763446,38453906
94,2018-05-18,ITUB4.SA,16.643356323242188,16.643356323242188,16.186363470052505,16.40380407074947,67811749
95,2018-05-21,ITUB4.SA,16.414875030517578,16.941889974853773,16.260086163011216,16.864496138422744,29325382
96,2018-05-22,ITUB4.SA,16.812896728515625,17.05244913733689,16.481208594048642,16.584399555485106,37297736
97,2018-05-23,ITUB4.SA,16.495946884155273,16.757612115419494,16.470149744906582,16.584397120000133,34838390
98,2018-05-24,ITUB4.SA,16.71338653564453,16.724442963754942,16.20111253439143,16.341159429146206,27927373
99,2018-05-25,ITUB4.SA,16.565977096557617,16.842383141094533,16.444357529031713,16.83869766345301,19195002
100,2018-05-28,ITUB4.SA,15.865739822387695,16.411183136464064,15.799402444903766,16.396441231546785,22406717
101,2018-05-29,ITUB4.SA,15.81045913696289,16.167945558586624,15.722008900629636,16.02421437253653,34432039
102,2018-05-30,ITUB4.SA,15.839945793151855,15.99473343588381,15.651988857844168,15.81046197752898,41881288
103,2018-06-01,ITUB4.SA,16.155149459838867,16.276810196046974,15.738551396499412,16.04086105137815,26340210
104,2018-06-04,ITUB4.SA,16.50537872314453,16.58648504317402,16.332103414309213,16.335790173861447,26154795
105,2018-06-05,ITUB4.SA,15.992932319641113,16.571745421214892,15.926571817848377,16.368975959840135,32517553
106,2018-06-06,ITUB4.SA,15.587401390075684,15.956071669190091,15.425186228253187,15.856531470618716,25763400
107,2018-06-07,ITUB4.SA,15.133941650390625,15.373578921881755,14.544068966908679,15.321964225534195,45800335
108,2018-06-08,ITUB4.SA,15.170798301696777,15.355133979292285,14.717333825477068,15.133930688153514,34032997
109,2018-06-11,ITUB4.SA,14.732086181640625,15.436248350797344,14.691532983894826,15.229793208964049,24579358
110,2018-06-12,ITUB4.SA,14.702591896057129,14.956973737780176,14.6214843130997,14.728398039456659,15770680
111,2018-06-13,ITUB4.SA,14.558802604675293,14.84636637199526,14.344975251005538,14.783692631254077,24389864
112,2018-06-14,ITUB4.SA,14.042665481567383,14.739453788443713,14.042665481567385,14.654659475836022,31758386
113,2018-06-15,ITUB4.SA,14.179081916809082,14.249129227391169,13.843591222657174,14.083228457103754,46156720
114,2018-06-18,ITUB4.SA,13.891518592834473,14.123781096035112,13.78460365197283,14.086914658019364,22857085
115,2018-06-19,ITUB4.SA,14.518255233764648,14.732083867981226,13.736673554845401,13.82884141987035,48287043
116,2018-06-20,ITUB4.SA,14.787389755249023,14.956977291672747,14.396598798155717,14.74683535660386,33294904
117,2018-06-21,ITUB4.SA,14.392903327941895,14.79844109376598,14.267554639381514,14.743140869581909,17269809
118,2018-06-22,ITUB4.SA,14.503508567810059,14.610423485276923,14.304426977940917,14.57355705532817,13811496
119,2018-06-25,ITUB4.SA,14.533008575439453,14.706284093298645,14.285998972649299,14.6362367723673,24706991
120,2018-06-26,ITUB4.SA,14.48507308959961,14.776322489410761,14.311797676397832,14.562493891768431,22118652
121,2018-06-27,ITUB4.SA,14.223318099975586,14.654663297919116,14.138523765252682,14.429773196005758,19643330
122,2018-06-28,ITUB4.SA,14.617794036865234,14.746828308030109,14.227003266559047,14.227003266559047,19751079
123,2018-06-29,ITUB4.SA,14.872185707092285,15.012280345412469,14.71734401314656,14.787391332306653,28425157
124,2018-07-02,ITUB4.SA,14.881397247314453,14.881397247314453,14.645360312864153,14.715433647020719,12965655
125,2018-07-03,ITUB4.SA,15.231771469116211,15.39773394315334,14.925659877278067,15.032614587462746,16566556
126,2018-07-04,ITUB4.SA,15.47887134552002,15.482559480112009,15.198577898550909,15.30553141070755,13271395
127,2018-07-05,ITUB4.SA,15.379291534423828,15.563694646714024,15.121125742611147,15.526814502458123,16605134
128,2018-07-06,ITUB4.SA,15.519448280334473,15.58952167573441,15.312915034992027,15.41618165766325,12935744
129,2018-07-10,ITUB4.SA,15.560005187988281,15.777602683043096,15.298152479998464,15.611639059258012,25709866
130,2018-07-11,ITUB4.SA,15.622713088989258,15.718604630643254,15.40142850245978,15.40142850245978,26562335
131,2018-07-12,ITUB4.SA,15.917742729187012,15.954622854914017,15.670641463448547,15.696458388310766,23021596
132,2018-07-13,ITUB4.SA,16.323444366455078,16.327132501533843,15.832929574013757,15.832929574013757,22360491
133,2018-07-16,ITUB4.SA,16.26442527770996,16.39719566689765,16.12059049017247,16.297617277254407,16164964
134,2018-07-17,ITUB4.SA,16.570531845092773,16.647981420875563,16.12796198668778,16.15377891045027,18700958
135,2018-07-18,ITUB4.SA,16.360322952270508,16.59635998815093,16.341883474151313,16.511535280488115,16660878
136,2018-07-19,ITUB4.SA,16.596359252929688,16.596359252929688,16.032084229053588,16.18329535506693,17703351
137,2018-07-20,ITUB4.SA,17.068429946899414,17.168007162492163,16.92090699479403,17.061053679743626,28881982
138,2018-07-23,ITUB4.SA,16.74020004272461,17.04631051594072,16.688567339756332,17.01680543109835,13753203
139,2018-07-24,ITUB4.SA,16.729127883911133,16.957788598964346,16.640613865905806,16.920908455506893,19517567
